rq_id,old_rq_no,old_slide,category,chapter,chapter_v3,section,hitl,component,charted,chapter_note,action,question,kind,role,method,detectors,sources,status,defer_reason,background,hypothesis,ideal,transcript,old_question,merged_in,now
RQ-h6-031,RQ 10.08,185,C10,5,3,S05,no,harness,no,,reword,"Does a new model, a harness feature or a rewritten skill description change how often that skill is invoked or how often it succeeds?",metric,core,sql,,harness.tool_calls;harness.model_releases;harness.cc_releases;knowledge.skill_versions,now,,Changes to descriptions and models are assumed to help; this checks the before and after.,Not discussed. Draft: description rewrites changed invocation rates visibly; model changes mattered more than harness features.,Each change is re-measured automatically against the previous version.,,"Does the introduction of a harness feature, a new model, or a rewritten procedure description produce a measurable step-change in that procedure's invocation rate or accuracy, as opposed to an assumed correlation never re-measured?",,
RQ-h6-032,RQ 10.09,186,C10,5,3,S05,no,protocol,no,,reword,"When one skill's output feeds the next, how often does the next skill use it directly rather than rediscovering the same artifact?",metric,core,haiku,D6,harness.tool_calls;harness.turns,baseline,,Rediscovery between skills is wasted tokens and a sign the hand-off contract is unclear.,Not discussed. Draft: hand-offs through the work-item store mostly work; rediscovery happens when a session was cleared mid-chain.,Hand-offs through a typed artifact; zero rediscovery.,,"When one procedure's output feeds the next procedure's input, how often does the hand-off succeed without the downstream procedure re-discovering the artifact, how many turns does a typical goal take end to end, and does a post-merge check actually fire in practice?",,
RQ-h6-033,RQ 10.20,197,C10,5,,S05,,,,,merge:NEW-C10-02,,,,,,,,,,,,,"Does replacing a model-judged check with a scripted, deterministic gate measurably reduce the rate of invalid or failed procedure invocations, marking a real shift from judgment to determinism?",,→ C10
RQ-h6-034,RQ 10.27,204,C10,5,9,S05,yes,policy,no,human-only skill boundary,reword,Are skills marked human-only ever invoked by an agent?,yes/no,core,sql,,harness.tool_calls,now,,A human-only skill run by an agent skips a gate the owner meant to keep.,"Not discussed. Draft: rarely, and each case led to a fix.",Never: the harness refuses it.,,"Are procedures marked as restricted to human invocation ever invoked by an agent instead, and when one procedure calls another internally, is that call verified against the callee's current invocation permissions?",,
RQ-h6-035,RQ 10.33,210,C10,5,3,S18,yes,harness,no,The feedback channel into skill design is part of the harness,reword,"Is there a standing channel for the owner's feedback to reach skill design, and what share of that feedback traces to a later skill change?",metric,core,haiku,,harness.memories;knowledge.skill_versions,baseline,,Feedback that never reaches a skill change is repeated forever.,Not discussed. Draft: memory files are the channel; most feedback does turn into a skill or rule change.,Every piece of feedback is filed against a skill and closed by a change.,,"Does the factory have a standing channel for the operator to leave feedback that gets read back into how procedures are designed, and what fraction of that feedback documents a bug found only after deployment?",,
RQ-h6-036,RQ 10.01,178,C10,5,8,S11,no,evidence,no,,reword,"Of the conventions the fleet map says every repo follows, what share is enforced by an automated check rather than stated only in prose?",metric,core,sql,D10,knowledge.controls;knowledge.checks;FLEET.md,now,,A convention stated only in prose is one nobody notices breaking. This separates enforced conventions from hopes.,Not discussed. Draft: most early conventions were prose; the share enforced by a check rose after the compliance register arrived.,"Every stated convention has a check, or is marked as deliberately unenforced.",,"Of the conventions a fleet's shared map says every repo follows, how many are enforced by an automated check versus asserted only in prose, and has a generated or manually-maintained shared record ever drifted from what the checks would currently produce?",,
RQ-h6-037,RQ 10.04,181,C10,5,7,S08,no,state-store,yes,,reword,"Is each repo's design record structurally complete (every expected section present, no stale paths) at each point in time?",inventory,core,detector,D2;D10,knowledge.doc_versions;knowledge.design_decisions,now,,A design record that is missing sections or points at deleted paths misleads the next agent that reads it.,Not discussed. Draft: records were complete at creation and decayed between syncs.,Every record complete at every merge; a check fails the PR otherwise.,,"Does a repo's design record stay structurally complete and current, and does the procedure that syncs it actually run its own review step first, leave sections deliberately stale, or hit its documented edge cases in practice?",,
RQ-h6-038,RQ 10.10,187,C10,5,3,S05,no,harness,no,,reword,"When two skills are merged into one, is the merged skill smaller and cheaper to run than the two it replaced?",metric,core,sql,,knowledge.skill_versions;harness.tool_calls,now,,Consolidation is meant to remove duplicate logic; new branches inside the merged skill can eat the saving.,Not discussed. Draft: merges shrank total size but the merged skills took more turns per run.,"Merges reduce both size and cost per run, verified at the merge.",,"When two procedures are consolidated into one, do the costs of the merged procedure's new branches exceed the savings from removing duplicated logic, how long does the merge take from being flagged, and what ends a multi-week development gap?",,
RQ-h6-039,RQ 10.14,191,C10,5,8,S05,no,evidence,no,verdict and untrusted input: evidence discipline,reword,"Do the plugin's verification skills end with an explicit verdict, treat external input as untrusted, and bound every retry step?",yes/no,core,detector,D10,wayfare-skills repo (code allowed),now,,"An unattended run that hangs on an unbounded retry, or trusts injected text, stalls or misleads the factory.",Not discussed. Draft: verdicts are present; retry bounds were added after hangs were seen.,"All three, enforced by a lint on the plugin.",,"Do the process plugin's own verification procedures end with an explicit verdict that never contradicts the underlying evidence, treat external input as untrusted data, and keep every retry or confirmation step bounded so it can't hang an unattended run?",,
RQ-h6-040,RQ 10.40,217,C10,5,4,S15,no,none,no,The size of the unit one agent ships,reword,What is the review and CI cost of shipping many small units versus one consolidated unit for the same outcome?,metric,core,sql,D1;D8,github.prs;github.ci_runs;github.pr_reviews,now,,Each PR pays fixed review and CI overhead; per-minute CI rounding makes many small jobs expensive.,"From the transcript: GitHub Actions charges each parallel job a rounded-up minute, so small units cost more than they look.","Unit size set by coherence (one change set per PR), with overhead measured.",if there are five things that take 5 seconds we just uh and in parallel um we are charged five minutes (00:43:16),"What is the review and CI cost of shipping many small work units versus one consolidated unit for the same outcome, and did moving to 'a unit is as big as its work' measurably reduce that cost?",,
NEW-CN-01,,,CN,6,5,S07,no,harness,no,,new,"Which connectors does each repo declare (design, design system, template, architecture, issues, infrastructure, identity), how does the agent reach each one (tool, checkout, manual), and when was each added?",inventory,preflight,sql + detector,D10,git.commits;repo_files,now,,Five repos declare connectors in a structured Connections block in HERO.md; the rest describe them in free-form sections.,"One agent gets useful once it can reach what sits beside the code: the design, the design system, the template, the issues, the infrastructure.","Every repo declares each connector in one schema, with how the agent reaches it, and the declaration is checked.",,,,
NEW-C02-03,,,CN,6,11,S04,yes,gate,no,credential waits belong with deploy and infrastructure,new,"How long does verification wait on a human to supply credentials (cloud or infrastructure logins), and how often?",metric,core,haiku,D6,asks;prompts;item_logs,baseline,,"Expired logins (e.g. an infrastructure tool, a cloud CLI) stop verification until the owner returns; a removable human-in-the-loop point.",Happens often enough to matter; a place where the human in the loop can be removed.,"Agents hold scoped, short-lived credentials; no credential waits.","01:10:30 terraform, AWS login expired, how long are we waiting",,,
NEW-CN-02,,,CN,6,7,S17,no,state-store,no,,new,"How often is a connector's value copied into a repo instead of read from its source, and how long does a copy stay wrong after the source moves?",lag,core,sql + detector,D2;D10,git.commits;repo_files,baseline,,"A copied value, such as a design project id, reads correct until the source moves, and then nothing says it is wrong.","A connector should point at its source, not copy it. A copied project id goes stale silently.",No connector value is copied; each is read from its source on every run.,,,,
NEW-CN-03,,,CN,6,6,S08,no,protocol,no,,new,"How far do non-code repos (design exports, reconciliation documents) drift from the code that implements them, and who notices first?",lag,core,detector + human,D2,git.commits;plans.plan_items,baseline,,"The design connectors point at non-code repos (Claude Design exports, a design reconciliation). They have few commits and no tests, so drift from the code shows only when someone reads both.","Non-code repos (Claude Design exports, the design reconciliation) drift from code faster than code drifts from itself.",A check compares each design export with the code that implements it and files the difference as an item.,,,,
RQ-h1-028,RQ 02.03,28,CN,6,6,S10,no,protocol,no,,reword,"How long does a change made at the design source take to reach a downstream repo's own conformance record, and does that lag shorten as the design surface matures?",lag,core,detector,D3;D2,doc_versions;plan_items;commits;messages,baseline,,Distinct from found backlog work: this is a deliberate design change (feature or bug) propagating to code. Outstanding-ask rounds and page- vs pixel-level filing are secondary slices.,Lag is long early and shortens as the design surface stabilizes; design changes are not planned the same way as found work.,A design change emits a message and the downstream item is created at once; lag is bounded by implementation time.,"00:26:25 not about task planning; design-level change, how long to reach downstream","How long does it take for a change made at a design source to reach a downstream repo's own conformance record, does that lag shorten or lengthen as the design surface matures, how many rounds does an outstanding ask survive before it's resolved (versus repeated as still-open despite already shipping), and did filing design work at page level rather than pixel level change the total item volume for the same coverage?",,
RQ-h4-008,RQ 07.04,125,CN,6,6,S08,no,protocol,no,design-source divergence handling crosses repos,reword,"When a design source flags a divergence from the code, what share end in a code-verified fix, a duplicate build, a verbal answer, or no filed follow-up?",metric,core,sql + haiku,,plans.plan_items;plans.item_logs;plans.messages,baseline,,"Tests whether the design-to-code feedback loop closes, or whether feedback evaporates.","Not discussed. Draft: most flagged divergences get a filed item, but a share stays verbal-only in a session.",Every flagged divergence becomes a tracked item closed by a verified code change.,,"When a design source flags a divergence between the product design and the code, what share get a code-verified fix, versus a hand-built duplicate, a verbal-only answer, or no filed follow-up at all?",,
RQ-h4-029,RQ 09.02,167,CN,6,6,S08,no,protocol,no,design source to product is upstream propagation,reword,"How long does a surface released in a design source take to reach the product, and how often is a deliberate override recorded as such?",lag,core,sql + detector,D3,commits;doc_versions,baseline,,"The design-to-code loop: whether design changes arrive, and whether divergence is a decision or an accident.",Not discussed. Draft: adoption takes days to weeks and overrides are rarely logged as deliberate.,Design releases are pulled into the product automatically and every override is logged as a decision.,,"In the reconciliation loop between a design source and its product, how often does the loop target the right destination, get an explicit human call when the product deliberately overrides the design, and how long does an adopted design surface take to reach the product?",,
RQ-h5-017,RQ 08.11,155,CN,6,11,S04,yes,gate,no,credential waits belong with deploy and infrastructure,reword,"How many work items need a human to verify because the agent lacks credentials or access, and how long do they wait?",distribution,core,detector + haiku,D6,plans.plan_items;plans.item_logs;harness.asks,baseline,,"A human-in-the-loop wait, e.g. an expired cloud or Terraform login; moved to S04.",The owner: 'say you want to do terraform you don't have the login for it or AWS login has expired how long are we waiting for this... where the human in the loop can be removed.',"Scoped, short-lived credentials issued to the agent; zero credential waits.",01:10:20 'you want to do terapform you don't have the login for it or AWS login has expired how long are we waiting for this',"How much work-item verification requires a human because the agent lacks credentials or access, how long do those items wait, and is the mark that lets a work item proceed (a human ready-mark) still the only point requiring a person, or have later gates added more?",,
RQ-h5-028,RQ 13.03,258,CN,6,7,S17,no,state-store,no,,reword,How often is a cached snapshot of an external source refreshed relative to how often the source changes?,lag,core,detector,D3,git.commits;knowledge.doc_versions,now,,"Snapshots (design exports, version files) are copies that can go stale silently.","Not discussed. Draft: snapshots are refreshed on sync runs, well behind the source's cadence.","Snapshots are refreshed on the source's change event, not on a manual sync.",,"For a cached or exported snapshot of an external source (a design snapshot, a diagram, a version file), how often is it refreshed relative to the source's actual change cadence, and does the cache ever report itself clean by only checking internal self-consistency rather than comparing against the live source?",,
RQ-h6-006,RQ 10.36,213,CN,6,5,S07,no,none,no,,reword,How consistently do clones take UI components from the shared design-system registry rather than writing their own?,metric,core,deferred,,,deferred,code-deep-dive,Hand-rolled components drift from the design system.,Not discussed. Draft: registry use is high in the template and uneven in clones.,"All UI from the registry, enforced by a lint.",,"How consistently do a fleet's clones pull UI components from the shared design system's registry rather than hand-rolling their own, and does deliberate design system work make one clone more compliant than the others?",,
NEW-C13-01,,,C13,7,7,S17,no,state-store,no,,new,"Does every repo record its plans, decisions and agent memory in files the factory can read?",yes/no,preflight,detector,D10,plans.plan_items;knowledge.design_decisions;harness.memories,now,,Opens the section: the rest only makes sense if these stores exist.,Not discussed. Draft: yes for fleet repos; memory is per-machine.,"Yes, in every repo, versioned.",Knowledge & memory is 'factory data structures and factory related information' (16:06 00:01:54),,,
NEW-C13-02,,,C13,7,11,S17,no,observability,no,,new,"Does each repo expose a fixed set of observable signals (health, logs, CI status, plan status) that a check can read?",yes/no,preflight,detector,D10,knowledge.instruction_files;github.ci_runs,now,,The owner folded observability into this section as 'has it or not' checks.,Not discussed. Draft: health and CI yes; plan status only via files.,Every repo exposes the same signal set to the factory.,Observability 'could be merged … checking whether a particular thing has it or not' (16:06 00:02:33),,,
RQ-h5-037,RQ 13.18,273,C13,7,9,S15,no,policy,no,Recorded spend per item enables budgets,reword,"Does the work-item store record actual spend per item, or only a planned budget?",yes/no,preflight,detector,D10,plans.plan_items,now,,Spend per item needs a recorded figure or an attribution method.,Owner: 'do we have budgets for unit of work? I don't think so … maybe number of commits or PRs' (14:52 00:29:40).,"Each item carries estimated and actual spend, written by the harness.","'first of all, do we have budgets for unit of work? I don't think so' (14:52 00:29:40)","Does a factory's work-item store record any measure of the harness's compute cost or spend per item, or is cost tracked only as a planned budget field with no actual figure?",,
RQ-h5-020,RQ 13.14,269,C13,7,9,S04,yes,gate,no,,reword,How often does the owner intervene directly in the work-item store (deleting or redirecting items) rather than approving or rejecting?,metric,core,sql,,plans.item_logs;git.commits,baseline,,Direct intervention is a heavier form of human-in-the-loop than a gate.,"Not discussed. Draft: rare; most intervention is by prompt, not by editing the store.",Interventions are logged as first-class events alongside approvals.,,"How often does the factory owner intervene directly in a work-item store (deleting or redirecting items) rather than only approving or rejecting, and how visible is that intervention in the store's log compared to a routine approval?",,
RQ-h5-021,RQ 13.15,270,C13,7,6,S11,no,policy,no,,reword,How long does a mirrored compliance summary stay out of sync with its source before an agent notices?,lag,core,detector,D2,knowledge.register_history;knowledge.check_results,baseline,,"Compliance summaries are snapshots taken at sync time, not live.",Owner: 'some of these values are based on when the sync happens and not when the compliance thing was introduced' (14:52 01:08:45).,Summaries are regenerated on every register change.,'we have a design sync … command that allows us to do it. So it's done at this time' (14:52 01:08:17),"How long does a knowledge artifact that mirrors another repo's state (a frozen or inherited compliance summary) stay unreconciled with its source before an agent notices, and does the artifact itself claim to be current while it is stale?",,
RQ-h5-022,RQ 13.16,271,C13,7,4,S07,no,none,no,code sprawl vs features,reword,Does a clone's code size grow with the number of feature work items tracked against it?,metric,core,sql,,git.commit_files;plans.plan_items,now,,Separates clones building a product from clones only doing template upkeep.,"Not discussed. Draft: template-sized clones stay small because work on them is upkeep, not features.",Every clone's growth is feature-driven; upkeep is done once in the template.,,"Does a clone's codebase size correlate with the volume of feature work items tracked against it, or do template-sized clones simply never grow because nothing gets built on them?",,
RQ-h5-023,RQ 13.02,257,C13,7,7,S17,no,state-store,no,,reword,"How often is an agent-instruction file or design record found stale or self-contradictory, and does an automated check catch it before an agent relies on it?",metric,core,detector,D2;D5,knowledge.doc_versions;knowledge.instruction_files;git.commits,baseline,,Agents believe what instruction files say; a stale claim is worse than none.,"Not discussed. Draft: staleness is found by unrelated work, not by a check; the architecture review skill catches some of it at sync time only.",Every claim in standing docs is checked against the code on each merge; drift is found within one change.,Knowledge & memory is 'factory data structures and factory related information' (16:06 00:01:54),"How often is agent instructions or a design record found to be stale or self-contradictory (wrong claims, an unrun recalibration step, a broken length or content check), and is there an automated check that catches this drift before an agent trusts the artifact?",,
RQ-h5-024,RQ 13.09,264,C13,7,7,S17,no,state-store,yes,,reword,"Does standing documentation (agent instructions, design records) keep growing with repo age, or plateau early and then churn?",metric,core,sql,,knowledge.doc_versions;knowledge.instruction_files,now,,Instruction volume is loaded into every session; growth costs tokens and attention.,"Not discussed. Draft: it grows fast early, then plateaus and churns as rules move to vendored files.",Docs plateau; new rules replace old ones and move to on-demand references.,,"Does the size of a factory's standing documentation (agent instructions, design records) grow with the repo's age, or does it plateau early and then mainly churn, with rules added while old ones are trimmed?",,
RQ-h5-025,RQ 13.10,265,C13,7,7,S17,no,state-store,no,,reword,"Are write-once knowledge records (archived plans, feedback notes) ever read again by later work?",metric,core,sql,,harness.tool_calls;knowledge.doc_versions,baseline,,Records nobody reads are cost without value.,Not discussed. Draft: archived items are rarely read back except by the sync skill.,Every archived record is either consulted by retrieval or deleted.,,"Are write-once knowledge records (a feedback packet, an archived plan note) ever read back by later work, or do they accumulate as records nobody consults again?",,
RQ-h5-026,RQ 13.05,260,C13,7,7,S17,no,state-store,no,,reword,"When a repo's prose about itself goes false relative to the code, how long does it stay false, and was the fix triggered by an incident or by unrelated work?",lag,core,detector,D2;D5,knowledge.doc_versions;git.commits;plans.plan_items,baseline,,Prose drift is the documentation form of architectural drift.,"Owner: 'a lot of the architecture drifts … when implementation changes, comments drift' (14:52 00:51:42). Draft: most fixes come from unrelated work stumbling on it.",A doc claim gone false is flagged by a check on the same PR that made it false.,'how correct is its own architecture instruction record … drifted false relative to the code' (14:52 00:51:42),"When a repo's own prose about itself (a claim in agent instructions or a runbook) goes false relative to the code, how long does it stay false before something catches it, and is the eventual fix triggered by a real incident or by unrelated work stumbling on it?",,
RQ-h5-027,RQ 13.06,261,C13,7,7,S17,no,state-store,yes,,reword,"Since the comment-quality rule was introduced, has the rate of comments later removed as noise dropped?",metric,core,sql,,git.commits;git.commit_files,now,,The comment rule is a factory control on agent output quality; this measures whether it works.,"Not discussed. Draft: yes, the rate dropped after the rule was vendored, with regressions when the rule wasn't loaded.",Comment slop is rejected by a check before commit; the rate is near zero.,,"Of the comments removed or flagged for violating a factory's comment-quality rule (narrating a diff, restating a signature, going stale), what share name a real incident or trap the comment prevents, and has the violation rate dropped since the rule was introduced?",,
RQ-h5-029,RQ 13.11,266,C13,7,7,S17,no,state-store,no,,reword,"When the same fact is written in more than one file or repo, how often does an agent act on the stale copy, and is it then consolidated to one place?",metric,core,detector,D7;D2,git.commits;plans.plan_items,baseline,,Duplicated facts drift; the owner's fix-it-upstream rule says consolidate to one home.,Not discussed. Draft: it happens (the port registry moved to FLEET.md for this reason) and is consolidated once found.,Each fact has one home; others link to it.,,"When the same fact, naming convention, or security rationale is expressed in more than one file or repo, does that duplication ever cause an agent to act on the wrong or stale copy, and once found, is it consolidated to one location or left duplicated?",,
RQ-h5-030,RQ 13.04,259,C13,7,7,S08,no,state-store,no,,reword,Can a fresh agent rely on the design record's decision log alone to avoid reopening a past decision?,metric,core,haiku,,knowledge.design_decisions;harness.prompts,baseline,,Decision logs exist to stop re-litigation; we want to know if they actually do.,Not discussed. Draft: decisions tied to an incident hold; generic ones get reopened. The owner's memory 'check .plans before disputing a control' says re-litigation happened.,Every decision names the incident and the rejected option; agents cite it instead of re-arguing.,,"How reliable is a design record's decision log as the sole reference for a past decision — do its rationale entries read as genuine incident-driven reasoning or generic filler, does it duplicate or conflict with agent instructions, and can a fresh agent avoid re-litigating an old decision from the write-up alone?",,
RQ-h5-031,RQ 13.17,272,C13,7,7,S17,no,state-store,no,,reword,Has a fact kept only in the unversioned local fleet map ever needed a history it didn't have?,yes/no,core,human,,,deferred,not-recorded,FLEET.md is local and unversioned by design; the cost is no audit trail.,"Not discussed. Draft: port changes once needed history; answered from memory, not data.",Fleet map is versioned and shared.,,"Where a cross-repo fact is kept in an unversioned local map rather than a versioned record, does that fact ever need an audit trail it doesn't have?",,
RQ-h5-032,RQ 13.01,256,C13,7,7,S17,no,state-store,yes,,reword,"How does the agent-memory corpus grow over time, by volume and type, and what share of memories state a reason and link to others?",metric,core,sql,,harness.memories,baseline,,Agent memory is the factory's only cross-session learning store; we want to know if it grows into a knowledge base or a pile.,Not discussed. Draft: memory grows in bursts after incidents and corrections; most entries carry a why because the memory rule asks for one.,"Memory is curated: growth plateaus as lessons move into rules and skills, stale entries are pruned automatically.",Knowledge & memory is 'factory data structures and factory related information' (16:06 00:01:54),"How does a factory's saved agent-memory corpus grow and change over time (volume, type mix, duplication versus independent rediscovery, staleness of referenced paths, connections between entries), and what share of memories match no lesson already captured elsewhere, get judged not worth keeping, or get written well after the event they describe?",,
RQ-h5-033,RQ 13.07,262,C13,7,7,S09,no,state-store,no,,reword,"Does the work-item store have a defined schema, how often has it changed, and how many repos still run an older schema version?",inventory,core,detector,D10;D2,plans.plan_items(schema_era);plans.plan_docs,now,,Plans need their own well-defined schema; it started minimal and grew.,Owner: 'originally we had a very minimal set of things but over time it grew so that the schema itself changes' (14:52 00:28:08).,"One versioned schema, validated on write; migrations are automatic and every repo is on the current version.",'the plans and the work items need to have their own schema and it needs to be very well defined' (14:52 00:27:43),"Across migrations of a work-item store's schema, how many items lost information or needed manual re-entry, and how many repos still run on an older schema version than the rest of the fleet?",,
RQ-h5-034,RQ 13.08,263,C13,7,8,S17,no,evidence,no,Verification logging vs later mistakes is evidence,reword,Do work items with more verification log entries have fewer later mistake entries?,metric,core,sql,,plans.item_logs,baseline,,Tests whether writing down verification is associated with fewer mistakes on that item.,Not discussed. Draft: weak positive relationship; verification entries are often boilerplate.,"Verification is a recorded, machine-checked step for every item, not a log line.",,"In a work-item store, does a higher share of verification log entries correlate with fewer later mistake entries on the same item, how old is the oldest untouched item, and how often does a referenced commit anchor become unreachable or do separate repos restate the same fact independently instead of citing one source?",,
RQ-h5-035,RQ 13.12,267,C13,7,10,S14,no,orchestration,yes,,reword,Does CI-configuration change track a stated cost constraint such as billed Actions minutes?,metric,core,sql,,git.commit_files;github.ci_runs,now,,CI is billed per minute rounded up per job; the owner serialized jobs to cut cost.,Owner: 'if there are five things that take 5 seconds … in parallel we are charged five minutes' (14:52 00:43:16).,CI cost is measured per run and changes are justified by it.,'we are charged five minutes because that's how GitHub action is charged' (14:52 00:43:16),"Do CI-configuration commits and review-gate patterns (a self-review event preceding an automated approval, cost-driven job changes) show up as a consistent, intentional pattern in commit history, and does that activity track a stated cost constraint such as billed compute minutes?",,
RQ-h5-036,RQ 13.13,268,C13,7,7,S05,no,state-store,no,instruction files as a budget: memory,reword,"When process instructions are restructured to load detail on demand, does the instruction volume loaded per session actually shrink?",metric,core,sql,,knowledge.skill_versions;knowledge.instruction_files,now,,Tiered loading is meant to cut context per session.,"Not discussed. Draft: loaded volume shrinks at the restructure, then creeps back up.",Per-session loaded instruction volume is tracked and budgeted.,,"When a factory's process instructions are restructured to load less per session (splitting a large procedure into references, moving detail out of the main file), does the total instruction volume actually shrink, and does the tiered structure match the stated principle of loading detail only on demand?",,
NEW-A-12,,,C09,8,7,S08,no,state-store,no,,new,Does each app repo have a design record?,yes/no,preflight,detector,D10,doc_versions,now,,Opens the design section.,First ask whether it exists.,"Yes, for every repo.",00:08:54 'first of all ask the question does this exist?',,,
NEW-A-13,,,C09,8,7,S08,no,state-store,no,,new,"Is the fleet's architecture described in a central repo, in each repo, or both, and how much do they overlap?",inventory,core,detector,D10,doc_versions;plan_docs,now,,Where architecture knowledge lives for the fleet versus for each app.,"There might be overlap; is it central, or separated out?",One central fleet record plus per-repo records that don't restate it.,(second call) 00:00:04 'is it a central repo? Is it separated out?',,,
RQ-h4-022,RQ 09.01,166,C09,8,8,S08,yes,evidence,no,whether the record obeys its own rules is evidence,reword,"Does each design record follow its own rules: decisions appended not edited, a human confirming before any write, verification claims backed by evidence?",yes/no,core,sql + detector,D10,doc_versions;design_decisions,now,,"Checks the record's stated discipline against its own history, including the process plugin's record.","Not discussed. Draft: append-only mostly holds, but some decisions were edited in place during larger rewrites.",A check on every commit rejects an edited decision and an unevidenced claim.,,"Does a design record actually follow its own stated rules — append-only decisions, current-state sections overriding stale ones, a human confirming before any write, verification claims backed by evidence — including in the process plugin's own record?",,
RQ-h4-023,RQ 09.03,168,C09,8,7,S08,no,state-store,yes,,keep,"How many dated decisions do the fleet's design records hold, and do entries get shorter or sparser as a record ages?",metric,core,sql,,design_decisions;doc_versions,now,,Decision density is a cheap signal of whether a record is still being used.,"Not discussed. Draft: records start dense and slow down, with the template's record the densest.",Decisions keep being recorded at the rate architecture changes.,,"What is the volume and age spread of dated decisions recorded in design records across the fleet, and does entry length or the gap between entries change as a record ages?",,
RQ-h4-024,RQ 09.06,171,C09,8,5,S08,no,policy,no,template-required sections across repos is fleet consistency,reword,"Does every repo's design record still carry the template's required sections, including infrastructure repos?",yes/no,core,detector,D10;D2,doc_versions,now,,"Section-level conformance to the template's record, plus whether renames of the record carried through.",Not discussed. Draft: product repos conform; infrastructure repos lag or lack a record.,Section conformance is a compliance check run on every repo.,,"Does every product's design record still carry the same required sections as the template's, and did infrastructure repos and any structural rename of the record itself get carried through cleanly, or are some repos missing an equivalent record entirely?",,
RQ-h4-025,RQ 09.07,172,C09,8,7,S08,no,state-store,no,,reword,Do decisions in the design record trace back to the commits that motivated them?,metric,core,sql,,commits;design_decisions,now,,Traceability from decision to change. Edit frequency on trust-boundary files is secondary.,Not discussed. Draft: few commits reference a dated decision; the link lives in PR bodies and plans.,"Every decision names its commit or PR, and every architectural PR names its decision.",,"Do commits that touch a repo's riskiest, most load-bearing code get edited more often than the rest, and does the design record's decision log actually trace back to the commits that motivated each entry?",,
RQ-h4-026,RQ 09.04,169,C09,8,6,S11,no,policy,no,,reword,"For a fact meant to be identical everywhere it's stated (a config constant, a base-image version, a file pairing), is it checked, or does it drift between record, instructions and code?",metric,core,sql + detector,D2;D10,checks;controls;doc_versions;instruction_files,baseline,,Facts stated in many places drift unless a check compares them.,Not discussed. Draft: facts with a register check hold; facts only in prose drift.,Each shared fact has one source and every other mention is generated or checked.,,"For a fact that is supposed to be identical everywhere it is stated — a config constant, a required pairing between two files, a base-image version — does a control register or drift check actually verify it, or does the fact drift unchecked across the record, the agent instructions, and the code?",,
RQ-h4-027,RQ 09.08,173,C09,8,5,S08,no,policy,no,clones matching each other is fleet consistency,reword,Do the clones' implementations of a shared architectural pattern still match each other?,yes/no,core,deferred,,,deferred,code-deep-dive,"Needs reading product code in every clone, which is out of scope. The register's checks answer a narrower version.",Not discussed. Draft: they diverge wherever no check pins them.,"Shared patterns live in a shared module, so there's one implementation.",,"Do all clones' implementations of a shared architectural pattern, such as a permission-check chain or a documented interim workaround, still match, and has any interim solution gone unrevisited even after its intended replacement became available?",,
RQ-h4-028,RQ 09.09,174,C09,8,4,S08,no,none,no,leftover code after supersession is agent sprawl,reword,"When a design is superseded, how much of the old code or docs is actually removed?",metric,core,deferred,,,deferred,code-deep-dive,Needs reading code for unused weight. Doc-side leftovers could be scanned later.,Not discussed. Draft: superseded code lingers until a later cleanup item.,A superseding decision carries its removal task and CI flags dead references.,,"When a design is superseded or a reference implementation ships with no real caller, how much of the old code or design actually gets removed, versus lingering as unused weight nobody has marked for deletion?",,
RQ-h4-030,RQ 09.05,170,C09,8,8,S08,no,gate,no,guardrails never fired is an evidence question,reword,"Have the guardrails a repo puts on itself (pinned modes, do-not-ship markers, conformance checks) ever fired, or are they untested?",metric,core,detector,D8,ci_runs;commits,baseline,,A guardrail that has never fired may not work. The owner's rule elsewhere: see a gate fail once before trusting it.,Not discussed. Draft: most guardrails have never fired; a few fired once when introduced.,Every guardrail has a test that makes it fire.,,"Do the guardrails a design system or product puts on itself — pinned connection modes, do-not-ship markers, a skill disabled to avoid inverting producer and consumer, conformance verification, comments naming a real constraint — actually get exercised, or are they preventive measures never yet tested?",,
RQ-h4-031,RQ 09.10,175,C09,8,7,S08,no,state-store,no,,reword,Do work items that change architecture reference the design record's sections or decisions?,metric,core,sql,,plan_items;design_decisions,now,,Tests whether planning consults the design record. The structural-vs-feature share is asked in the work-item section.,Not discussed. Draft: architecture items reference the record in a minority of cases.,Every architectural item links the decision it adds or changes.,,"What share of work items are structural rather than product-facing, and do items that touch architecture actually reference the design record's sections or decisions in their own body?",,
NEW-C02-01,,,C02,9,7,S09,no,state-store,no,,new,"Does each repo have a work-item store with a defined schema (item types, statuses, goal grouping), and how often has that schema changed?",yes/no,preflight,detector,D10,plan_items;plan_docs;commit_files,now,,Every flow question presupposes a store that records items and their status transitions; the schema grew from minimal to richer over the factory's life.,"The store exists as a plans folder in each factory repo; the schema started minimal and grew, so older items carry fewer fields.","One versioned schema, validated on write, identical in every repo.","00:27:43 plans and work items need their own well-defined schema; does it have one, how often does it change",,,
NEW-A-03,,,C02,9,2,S09,no,none,no,change-set precision defines the unit of work,new,"What share of commits carry more than one change set, and what share of change sets are spread over several commits?",metric,core,detector,D1,commits,now,,Precision and recall of commits as change sets: overloaded commits versus split ones.,Measure both precision (is it exactly one change set) and recall (how many are we doing).,Each commit is exactly one change set.,00:13:23 'both the precision… as well as recall',,,
